"id","ref"
70,"Walde, A. (1930) 'Vergleichendes Woerterbuch der Indogermanischen Sprachen'. de Gruyter."
71,"Donelaitis, http://donelaitis.vdu.lt/prussian/Engl.pdf"
72,"Beekes, Robert. 1995. Comparative Indo-European Linguistics: An Introduction. Amsterdam: John Benjamins."
73,"Jasanoff, Jay H. 1989. Language and Gender in the Tarim Basin: The Tocharian 1 sg. Pronoun. Tocharian and Indo-European Studies 3: 125-148."
74,"Seebold, Elmar. 1989. Etymologisches Wörterbuch der deutschen Sprache. Walter de Gruyter."
75,"Mallory, J.P. and D.Q. Adams. 2006. The Oxford Introduction to Proto-Indo-European and the Proto-Indo-European World. Oxford"
76,"Windekens, A. J. van. 1976. Le Tokharien confronté les autres langues indo-européennes. Volume 1. La phonétique et le vocabulaire. Louvain: Centre International De Dialectologie Générale."
77,"Diez, Friedrich. 1864. An Etymological Dictionary of the Romance Languages. Truebner."
78,"Monier-Williams, Monier. 1899. A Sanskrit-English Dictionary. Oxford: Clarendon Press"
79,"Martirosyan, Hrach. 2010. Etymological Dictionary of the Armenian Inherited Lexicon. Brill."
80,"Kloekhorst, Alwin. 2008. Etymological Dictionary on the Hittite Inherited Lexicon. Leiden: Brill."
81,"Derksen, Rick. 2008. Etymological Dictionary of the Slavic Inherited Lexicon. Leiden: Brill."
82,"Boutkan, Dirk/ Siebinga, Sjoerd M. 2005. Old Frisian Etymological Dictionary. Leiden: Brill."
83,"Cheung, Johnny. 2007. Etymological Dictionary of the Iranian Verb. Leiden: Brill."
85,"Cioranescu, Alexandru. 2002. Dictionarul etimologic al limbii romane. Bucarest: Saeculum."
87,"http://en.wiktionary.org/wiki/Appendix:Albanian_Swadesh_list"
88,"http://en.wiktionary.org/wiki/Appendix:Friulian_Swadesh_list"
89,"http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_further_Romance_languages"
90,"Love, Catherine, E. 1993 [1985]. Collins Giunti Marzocco Italian-English, English-Italian Dictionary."
91,"Corréard, Marie-Hélène & Grundy, Valerie (eds.). 1994. The Oxford-Hachette French Dictionary, French-English, English-French, Oxford: Oxford University Press."
92,"Howlett, Colin. (1994). The Pocket Oxford Russian Dictionary. Oxford University Press"
94,"Makins, M., Isaacs, A. & Adams, D. 1994 [1979]. Collins English Dictionary, Glasgow: HarperCollins."
95,"Osselton, N. & Hempelman, R. 2003. The New Routledge Dutch Dictionary: Dutch-English, English-Dutch, Utrecht-Antwerpen: Van Dale Lexicografie, bv."
96,"Al, B.P.F., Cox, H.L., Martin, W., Pijnenburg, W.J.J., van Sterkenburg, P.G.J. & Tops, G.A.J. 1983. Groot woordenboek Duits-Nederlands, Utrecht/Antwerpen: Van Dale Lexicografie bv."
97,"Det Danske Sprog- og Litteraturselskab. 2011. Den Danske Ordbog. http://ordnet.dk/ddo/"
98,"Pandharipande, Rajeshwari V. 1997. Marathi, London: Routledge."
99,"Bellamy-Dworak, Kate. Max Planck Institute for Psycholinguistics."
100,"Chandralal, Dileep. 2010. Sinhala, Amsterdam/Philadelphia: John Benjamins."
101,"Shapiro, Michael, C. Hindi in The Indo-Aryan Languages, George Cardona & Dhanesh Jain (eds.), London: Routledge."
102,"Riccardi, Theodore. 2003. Nepali, The Indo-Aryan Languages, George Cardona & Dhanesh Jain (eds.), London: Routledge."
104,"Cardona, George & Babu Suthar. 2003. Gujarati, The Indo-Aryan Languages, George Cardona & Dhanesh Jain (eds.), London: Routledge."
105,"Orel, Vladimir. 1998. Albanian Etymological Dictionary. Leiden: Brill."
106,"http://en.wiktionary.org/wiki/Appendix:Armenian_Swadesh_list"
107,"http://en.wiktionary.org/wiki/Appendix:Polish_Swadesh_list"
108,"http://en.wiktionary.org/wiki/Appendix:Portuguese_Swadesh_list"
110,"http://en.wikipedia.org/wiki/Swadesh_list_of_Slavic_languages"
111,"http://en.wiktionary.org/wiki/Appendix:Greek_Swadesh_list"
112,"http://en.wiktionary.org/wiki/Appendix:Romanian_Swadesh_list"
113,"http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Celtic_languages"
114,"http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_%28extended%29"
115,"http://en.wiktionary.org/wiki/Appendix:Swadesh_list_for_Baltic_languages"
116,"Catalan Dictionary: English-Catalan, Catalan-English. 1993. London: Routledge."
118,"http://en.wiktionary.org/wiki/Appendix:Ancient_Greek_Swadesh_list"
119,"http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Germanic_languages"
120,"http://en.wiktionary.org/wiki/Appendix:Spanish_Swadesh_list"
121,"Kornitzky, H. & E. Engbrant-Heider. 1984. Langenscheidts Taschenwörterbuch, Schwedisch, Schwedisch-Deutsch, Deutsch-Schwedisch, Berlin/München: Langenscheidt."
122,"Erschler, David (2011) Field Notes."
123,"http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Iberian_languages"
124,"Zantema, J.W. 1984. Frysk Wurdboek, frysk-nederlânsk, Leeuwarden/Ljouwert: A.J. Osinga Uitgeverij."
125,"Delaporte, Raymond. 2006 [1979]. Elementary Breton-English & English-Breton Dictionary, Second Edition, Lesneven: Mouladurioù Hor Yezh."
126,"Puhvel, Jaan. 1984. Hittite Etymological Dictionary, Berlin: Mouton de Gruyter."
127,"http://dict.leo.org/ Online German dictionary"
