"﻿n","meaning","cognate_id","cognate_sources","language","lexeme","lexeme_sources"
1,"I","62","1","Afghan","ZE","1"
2,"I","62","1","Albanian_C","U","1"
3,"I","62","1","Albanian_G","UN","1"
4,"I","62","1","Albanian_K","U","1"
5,"I","62","1","Albanian_Top","UNE","1"
6,"I","62","1","Armenian_List","YES","1"
7,"I","62","1","Armenian_Mod","jɛs","1, 106"
8,"I","62","1","Baluchi","MAN","1"
9,"I","62","1","Bengali","'ɑmi:","1, 114"
10,"I","62","1","Breton_List","ME","1"
11,"I","62","1","Breton_SE","ME","1"
12,"I","62","1","Breton_ST","me:","1, 125"
13,"I","62","1","Bulgarian","as","1, 110"
14,"I","62","1","Byelorussian","JA","1"
15,"I","62","1","Catalan","ʒɔ, jɔ","1, 89"
16,"I","62","1","Czech","jaː","1, 110"
17,"I","62","1","Czech_E","YA","1"
18,"I","62","1","Danish","jɑj","1, 97"
19,"I","62","1","Dutch_List","ɪk","1, 95"
20,"I","62","1","English_ST","aɪ ","1, 94"
21,"I","62","1","Faroese","e:","1"
22,"I","62","1","Flemish","IK","1"
23,"I","62","1","French","ʒə","1, 91"
24,"I","62","1","Frisian","ɪk, ɪkə","1, 124"
25,"I","62","1","German_ST","ɪç","1, 96"
26,"I","62","1","Greek_ML","EGO","1"
27,"I","62","1","Greek_Mod","e̞ˈɣo̞","1, 111"
28,"I","62","1","Gujarati","HU","1"
29,"I","62","1","Romani","ME","1"
30,"I","62","1","Hindi","mɛ̃","1, 114"
31,"I","62","1","Icelandic_ST","jɛɣ","1"
32,"I","62","1","Irish_A","ME","1"
33,"I","62","1","Italian","'io","1, 90"
34,"I","62","1","Ladin","EAU","1"
35,"I","62","1","Lahnda","MAE","1"
36,"I","62","1","Latvian","ES","1"
37,"I","62","1","Lithuanian_ST","ɐʃ","1, 115"
38,"I","62","1","Lusatian_L","JA","1"
39,"I","62","1","Lusatian_U","JA","1"
40,"I","62","1","Macedonian","jas","1, 45"
41,"I","62","1","Marathi","mi:","1, 98"
42,"I","62","1","Nepali_List","MA","1"
43,"I","62","1","Persian_List","mæn","1, 114"
44,"I","62","1","Polish","ja","1, 107"
45,"I","62","1","Portuguese_ST","eu","1, 108"
46,"I","62","1","Provencal","jew","1, 89"
47,"I","62","1","Riksmal","jæɪ","1"
48,"I","62","1","Romanian_List","jew, jo","1, 112"
49,"I","62","1","Russian","ja","1, 92, 56"
50,"I","62","1","Sardinian_C","DEU","1"
51,"I","62","1","Sardinian_L","EGO","1"
52,"I","62","1","Sardinian_N","JEO","1"
53,"I","62","1","Serbocroatian","JA","1"
54,"I","62","1","Singhalese","MAMA","1"
55,"I","62","1","Slovak","JA","1"
56,"I","62","1","Slovenian","JEST","1"
57,"I","62","1","Spanish","ʝo","1, 120"
58,"I","62","1","Swedish_List","ˈjɑːɡ, ˈjɑː","1"
59,"I","62","1","Swedish_Up","JAG","1"
60,"I","62","1","Swedish_VL","JAG, JA  JAG, JA","1"
61,"I","62","1","Tadzik","mæn","1, 114"
62,"I","62","1","Ukrainian","JA","1"
63,"I","62","1","Vlach","EO","1"
64,"I","62","1","Wakhi","WUZ","1"
65,"I","62","1","Walloon","DJI","1"
66,"I","62","1","Waziri","ZE","1"
67,"I","62","56","Scots_Gaelic","mi","61"
68,"I","62","56","Cornish","mi","31, 42"
69,"I","62","56","Urdu","mɛ̃","62"
70,"I","62","72","Hittite","ūk","28"
71,"I","62","73","Tocharian_A","näṣ","28"
72,"I","62","73","Tocharian_B","ñäś","28"
73,"I","62","56","Kurdish","min","64"
74,"I","62","72","Ancient_Greek","eɡɔː","32, 118"
75,"I","62","56","Assamese","mɒe","24, 9"
76,"I","62","56","Oriya","mũ","23"
77,"I","62","56","Bihari","həm","10, 7"
78,"I","62","56","Marwari","mɛ̃","12"
79,"I","62","56","Sindhi","mã","30, 6"
80,"I","62","72","Vedic_Sanskrit","ahám","28"
81,"I","62","72","Old_Church_Slavonic","azŭ","44, 28"
82,"I","62","56","Old_Prussian","as","28"
83,"I","62","56","Old_English","ic","28"
84,"I","62","56","Old_Norse","ek","4, 28"
85,"I","62","56","Luxembourgish","œx",""
86,"I","62","56","Gothic","ik","28"
87,"I","62","72","Latin","ego","17, 28, 27"
88,"I","62","56","Romansh","jau","89"
89,"I","62","56","Friulian","jo","88"
90,"I","62","56","Iron_Ossetic","ɐž","122"
91,"I","62","56","Digor_Ossetic","ɐz","122"
92,"I","62","56","Avestan","azəm","28"
93,"I","62","56","Old_High_German","ih","28"
94,"I","62","56","Old_Irish","mé","28"
95,"I","62","56","Classical_Armenian","es","28"
96,"I","62","56","Old_Persian","mām","28"
97,"I","1784","1","Kashmiri","BOH","1"
98,"I","2154","1","Welsh_C","FI","1"
99,"I","2154","1","Welsh_N","i, vi","1, 113"
106,"all","175","1","Danish","ɛl","1, 97"
107,"all","175","1","Dutch_List","'ɑləs","1, 95"
108,"all","175","1","English_ST","ɔ:l","1, 94"
109,"all","175","1","Faroese","ALLIR","1"
110,"all","175","1","Flemish","ALLE, ALLES","1"
111,"all","175","1","Frisian","ɔlə, ɔləs, ɔləgjɛr(ə)","1, 124"
112,"all","175","1","German_ST","'alə","1, 96"
113,"all","175","1","Icelandic_ST","ALLIR","1"
114,"all","175","1","Riksmal","alə","1"
115,"all","175","1","Swedish_List","ˈala","1"
116,"all","175","1","Swedish_Up","ALL","1"
117,"all","175","1","Swedish_VL","AL  AL","1"
118,"all","175","47","Gothic","allai","28"
119,"all","175","56","Luxembourgish","all",""
120,"all","175","47","Old_Norse","allir","4, 28"
121,"all","175","47","Old_English","ealle","28"
122,"all","175","56","Old_High_German","alle","28"
123,"all","351","1","Albanian_C","GITH","1"
124,"all","351","1","Albanian_G","GJITH","1"
125,"all","351","1","Albanian_Top","GITHE","1"
126,"all","351","105","Kurdish","giş","64"
127,"all","543","1","Albanian_K","TUTI","1"
128,"all","543","1","Catalan","tot","1, 89"
129,"all","543","1","French","tu","1, 91"
130,"all","543","1","Italian","'tutto","1, 90"
131,"all","543","1","Ladin","TUOT","1"
132,"all","543","1","Portuguese_ST","ˈtoðu","1, 108"
133,"all","543","1","Provencal","TOUT, TOUTO","1"
134,"all","543","1","Romanian_List","TOTI (M. PL.), TOATE (N. PL.)","1"
135,"all","543","1","Sardinian_C","TOTTU","1"
136,"all","543","1","Sardinian_L","TOTU","1"
137,"all","543","1","Sardinian_N","TOTTU","1"
138,"all","543","1","Spanish","'toðo","1, 120"
139,"all","543","1","Vlach","TUTI","1"
140,"all","543","1","Walloon","TOT","1"
141,"all","543","47","Latin","tōtus","27"
142,"all","543","56","Friulian","dut","88"
143,"all","543","56","Romansh","tut","89"
144,"all","566","1","Armenian_List","BOLOR","1"
145,"all","566","1","Armenian_Mod","boˈloɾ","1, 79, 106"
146,"all","682","1","Baluchi","KULL","1"
147,"all","682","1","Kashmiri","SORI","1"
148,"all","748","1","Bengali","SOB","1"
149,"all","748","1","Hindi","SEB, SARA","1"
150,"all","748","1","Lahnda","SEBU, SARE","1"
151,"all","748","1","Nepali_List","SAB, SABAI, SARBA","1"
152,"all","748","56","Sindhi","sabhu","6, 30"
153,"all","748","56","Oriya","sɔbɔ","24"
154,"all","748","56","Bihari","səb","29"
155,"all","748","56","Urdu","səb","62"
156,"all","748","48","Marwari","səi","12"
157,"all","748","69","Romani","SAVORA","1"
158,"all","748","48","Marathi","'səɾwə, 'səgɭə","1, 98"
159,"all","965","1","Breton_List","AN HOLL","1"
160,"all","965","1","Breton_SE","OL","1"
161,"all","965","1","Breton_ST","ɔl","1, 113"
162,"all","965","1","Greek_ML","HOLOS","1"
163,"all","965","1","Greek_Mod","ˈo̞lo̞s","1, 111"
164,"all","965","1","Irish_A","UILE, GO LEIR, AR FAD","1"
165,"all","965","56","Scots_Gaelic","uile","61"
166,"all","965","47","Tocharian_B","solme",""
167,"all","965","47","Tocharian_A","salu","47"
168,"all","965","47","Cornish","ol an","31"
169,"all","965","56","Old_Irish","uili","28"
170,"all","1102","1","Byelorussian","WSE, WSE","1"
171,"all","1102","1","Czech","fʃɪxɲɪ","1, 110"
172,"all","1102","1","Czech_E","FSECKI","1"
173,"all","1102","1","Latvian","VISS","1"
174,"all","1102","1","Lithuanian_ST","‘ʋʲɪskɐs","1, 115"
175,"all","1102","1","Lusatian_L","WSEN","1"
176,"all","1102","1","Lusatian_U","WSON","1"
177,"all","1102","1","Macedonian","SA, SIOV-N-T","1"
178,"all","1102","1","Polish","WSZYSCY","1"
179,"all","1102","1","Russian","vsʲo","1, 92, 56"
180,"all","1102","1","Serbocroatian","SAV","1"
181,"all","1102","1","Slovak","VSETKO","1"
182,"all","1102","1","Slovenian","VSE","1"
183,"all","1102","1","Ukrainian","UVES'","1"
184,"all","1102","47","Vedic_Sanskrit","víśvē","28"
185,"all","1102","47","Old_Church_Slavonic","vĭsi","44, 28"
186,"all","1102","56","Old_Prussian","wissay","28"
187,"all","1102","99","Bulgarian","ˈfsit͡ʃki","1, 110"
188,"all","1102","56","Avestan","vispe","28"
189,"all","1102","28","Old_Persian","visā","28"
190,"all","1978","1","Persian_List","hæme","1, 114"
191,"all","1978","1","Tadzik","XAMA","1"
192,"all","1978","1","Waziri","HAMAGI","1"
193,"all","1978","48","Kurdish","hemû","64"
194,"all","2135","1","Welsh_C","PAWB","1"
195,"all","2135","1","Welsh_N","POB","1"
196,"all","2462","48","Tocharian_A","poñś","28"
197,"all","2462","48","Tocharian_B","poñc","28"
198,"all","2462","28","Ancient_Greek","πᾶς","32"
199,"all","3154","68","Hittite","hūmantes","28"
200,"all","3154","68","Latin","ˈomnis","17, 28, 47, 123"
201,"all","3193","56","Iron_Ossetic","ɐppɐt","122"
202,"all","3193","56","Digor_Ossetic","ɐppɐt","122"
203,"all","3297","28","Luvian","pūnatinzi","28"
204,"all","3297","28","Lycian","huwedri","28"
225,"and","1","1","Afghan","AU","1"
226,"and","1","1","Bengali","ɑːɹ","1, 114"
227,"and","1","1","Hindi","OR","1"
228,"and","1","1","Nepali_List","AU, RA","1"
229,"and","1","1","Waziri","AU","1"
230,"and","1","48","Urdu","ʔɔɾ","62"
231,"and","1","48","Marwari","ər","12"
232,"and","1","48","Assamese","āru","9, 24"
233,"and","1","48","Bihari","aur","29"
234,"and","1","69","Sindhi","aũ","30"
235,"and","1","69","Oriya","o","24, 23"
236,"and","176","1","Dutch_List","ɛn","1, 95"
237,"and","176","1","English_ST","ænd ","1, 94"
238,"and","176","1","Flemish","EN","1"
239,"and","176","1","Frisian","ɛn","1, 119"
240,"and","176","1","German_ST","ʊnt","1, 96"
241,"and","176","48","Luxembourgish","an",""
242,"and","176","48","Old_English","and","28"
243,"and","176","28","Old_High_German","inti","28"
244,"and","352","1","Albanian_C","E","1"
245,"and","352","1","Albanian_G","ENE, NE, E","1"
246,"and","352","1","Albanian_K","EDHE","1"
247,"and","352","1","Albanian_Top","DHE","1"
248,"and","567","1","Armenian_List","YEV","1"
249,"and","567","1","Armenian_Mod","jɛv","1, 106"
250,"and","567","56","Classical_Armenian","ew","28"
251,"and","683","1","Baluchi","GUDA, DI, WA, O","1"
252,"and","683","1","Persian_List","VA","1"
253,"and","683","1","Tadzik","VA","1"
254,"and","848","1","Catalan","i","1, 89"
255,"and","848","1","French","e","1, 91"
256,"and","848","1","Italian","e, ed","1, 90"
257,"and","848","1","Ladin","E, ED","1"
258,"and","848","1","Portuguese_ST","i","1, 108"
259,"and","848","1","Provencal","E, EME, EMAI","1"
260,"and","848","1","Sardinian_C","E","1"
261,"and","848","1","Sardinian_L","E  E","1"
262,"and","848","1","Sardinian_N","E","1"
263,"and","848","1","Spanish","i","1, 120"
264,"and","848","1","Walloon","ET","1"
265,"and","848","48","Latin","et","17, 28, 27"
266,"and","848","56","Romansh","e, ed","89"
267,"and","848","56","Friulian","e","88"
268,"and","848","28","Umbrian","et","28"
269,"and","966","1","Breton_List","HA, HAG","1"
270,"and","966","1","Breton_SE","HA, HAG","1"
271,"and","966","1","Breton_ST","a","1, 125"
272,"and","966","1","Irish_A","AGUS","1"
273,"and","966","1","Welsh_C","A","1"
274,"and","966","1","Welsh_N","a:","1, 113"
275,"and","966","48","Cornish","ha(g)","31"
276,"and","966","48","Scots_Gaelic","agus","61"
277,"and","966","56","Old_Irish","ocus","28"
278,"and","1103","1","Bulgarian","i, ɐ","1, 110"
279,"and","1103","1","Byelorussian","I","1"
280,"and","1103","1","Czech","a","1, 110"
281,"and","1103","1","Czech_E","AY","1"
282,"and","1103","1","Lusatian_L","I","1"
283,"and","1103","1","Lusatian_U","I","1"
284,"and","1103","1","Macedonian","I","1"
285,"and","1103","1","Polish","i","1, 107"
286,"and","1103","1","Russian","i","1, 92, 56"
287,"and","1103","1","Serbocroatian","I","1"
288,"and","1103","1","Slovak","A, I","1"
289,"and","1103","1","Ukrainian","I, J","1"
290,"and","1103","48","Old_Church_Slavonic","i","44, 28"
291,"and","1303","1","Danish","ɒw, ʌ","1, 97"
292,"and","1303","1","Faroese","oː","1"
293,"and","1303","1","Icelandic_ST","ɔːɣ","1"
294,"and","1303","1","Riksmal","OG","1"
295,"and","1303","1","Swedish_List","ɔ(kː)","1"
296,"and","1303","1","Swedish_Up","OCH","1"
297,"and","1303","48","Old_Norse","ok","4, 28"
298,"and","1447","1","Greek_ML","KAI","1"
299,"and","1447","1","Greek_Mod","ce̞, c(i)","1, 111"
300,"and","1447","48","Ancient_Greek","ka:ɪ","32, 118"
301,"and","1591","1","Gujarati","ANE","1"
302,"and","1591","1","Marathi","'ani","1, 98"
303,"and","1775","1","Kashmiri","TA","1"
304,"and","1775","1","Lahnda","TE","1"
305,"and","1775","69","Gujarati","TATHA","1"
306,"and","1775","69","Bihari","tathā","7"
307,"and","1775","69","Romani","DA","1"
308,"and","1884","1","Lithuanian_ST","IR","1"
309,"and","1884","85","Romanian_List","IAR","1"
310,"and","2528","75","Ancient_Greek","τε","32"
311,"and","2528","75","Vedic_Sanskrit","ca","28"
312,"and","2528","76","Tocharian_A","śkaṃ","28"
313,"and","2528","48","Hittite","ca ~ -ya","28"
314,"and","2528","28","Luvian","-ha","28"
315,"and","2528","28","Lycian","-ke","28"
316,"and","2528","28","Avestan","ča","28"
317,"and","2528","28","Old_Persian","utā","28"
318,"and","2529","48","Bengali","ebɔŋ","1, 114"
319,"and","2529","48","Bihari","ebã","7"
320,"and","3155","48","Latvian","UN","1"
321,"and","3188","56","Iron_Ossetic","ɐmɐ","122"
322,"and","3188","56","Digor_Ossetic","ɐma","122"
339,"animal","177","1","Danish","ˈd̥yːʌ, 'd̥yɐ̯","1, 97"
340,"animal","177","1","Dutch_List","dir","1, 95"
341,"animal","177","1","Faroese","dʒɔur","1"
342,"animal","177","1","Flemish","DIER","1"
343,"animal","177","1","German_ST","ti:ɐ̯","1, 96"
344,"animal","177","1","Icelandic_ST","tiːr","1"
345,"animal","177","1","Riksmal","dyːɾ","1"
346,"animal","177","1","Swedish_List","jʉːr","1"
347,"animal","177","1","Swedish_Up","DJUR","1"
348,"animal","177","1","Swedish_VL","JUR","1"
349,"animal","177","48","Gothic","dius","28"
350,"animal","177","47","Old_Norse","dýr","4, 28, 47"
351,"animal","177","48","Old_English","dēor","28"
352,"animal","177","47","Luxembourgish","Déier",""
353,"animal","177","56","Old_High_German","tior","28"
354,"animal","353","1","Albanian_G","SHTASA","1"
355,"animal","544","1","Albanian_Top","KAFSE","1"
356,"animal","544","1","Albanian_K","KAFSE","1"
357,"animal","684","1","Baluchi","JANWAR, ZANWAR, SHANWAR","1"
358,"animal","684","1","Hindi","ˈdʒanʋər","1, 114"
359,"animal","684","1","Kashmiri","JANAWAR","1"
360,"animal","684","1","Lahnda","JANWER","1"
361,"animal","684","1","Waziri","DZANAWAR","1"
362,"animal","684","48","Marathi","dzən'awəɾ","48, 98"
363,"animal","684","48","Sindhi","ǰanvarū","30"
364,"animal","684","48","Nepali_List","JANAWAR","48"
365,"animal","684","48","Assamese","zɒntu","24"
366,"animal","684","56","Oriya","ǰɔntu","24"
367,"animal","684","48","Bengali","JANOAR, JONTU","1"
368,"animal","684","48","Bihari","janbər","29"
369,"animal","684","48","Marwari","jināwar","36"
370,"animal","684","48","Gujarati","JANWER, JENAWER","48"
371,"animal","684","48","Urdu","ʤɑnwəɾ","62"
372,"animal","684","89","Persian_List","dʒɒːnˈvæɾ","114"
373,"animal","849","1","Catalan","əni’mal","1, 116"
374,"animal","849","1","French","animal","1, 91"
375,"animal","849","1","Italian","ani'male","1, 90"
376,"animal","849","1","Ladin","ANIMAL, ARMAINT","1"
377,"animal","849","1","Portuguese_ST","ɐniˈmaɫ","1, 108"
378,"animal","849","1","Provencal","ANIMAU","1"
379,"animal","849","1","Romanian_List","animal","1"
380,"animal","849","1","Sardinian_C","ANIMALI","1"
381,"animal","849","1","Sardinian_L","ANIMALE","1"
382,"animal","849","1","Sardinian_N","ANIMALE","1"
383,"animal","849","1","Spanish","ani'mal","1, 120"
384,"animal","849","48","Latin","animal","17, 28, 27"
385,"animal","849","47","Welsh_C","ANIFAIL","1"
386,"animal","849","47","Welsh_N","ANIFAIL","1"
387,"animal","849","47","Cornish","enyval","42, 15"
388,"animal","849","47","Irish_A","AINMHE","48"
389,"animal","849","47","Breton_ST","ɑ̃ˈneval","1, 113"
390,"animal","849","47","Breton_SE","ENEVAL","1"
391,"animal","849","47","Breton_List","ANEVAL","48"
392,"animal","849","48","Old_Prussian","alne","28"
393,"animal","849","56","Albanian_C","ANIMAX","1"
394,"animal","849","47","Scots_Gaelic","ainmhidh","61"
395,"animal","849","48","Assamese","prani","24"
396,"animal","849","48","Oriya","praṇi","24, 23"
397,"animal","849","48","Gujarati","PRANI","1"
398,"animal","849","48","Marathi","prani","1"
399,"animal","849","47","English_ST","'ænɪməl ","1, 94"
400,"animal","849","56","Romansh","animal","89"
401,"animal","849","56","Friulian","animâl, nemâl","88"
402,"animal","849","56","Old_Irish","anmandae","28"
403,"animal","1104","1","Byelorussian","ZYVELA","1"
404,"animal","1104","1","Czech","zviːr̝ɛ","1, 110"
405,"animal","1104","1","Czech_E","ZVIRE","1"
406,"animal","1104","1","Lusatian_L","ZWERISCO","1"
407,"animal","1104","1","Lusatian_U","ZWERJO","1"
408,"animal","1104","1","Macedonian","ZIVOTINA, -INKA","1"
409,"animal","1104","1","Polish","ˈzvʲɛʒɛ̃","1, 107"
410,"animal","1104","1","Slovak","ZVER","1"
411,"animal","1104","47","Ancient_Greek","θήρ","32"
412,"animal","1104","47","Old_Prussian","swīrins","28"
413,"animal","1104","47","Lithuanian_ST","ZVERIS ","48"
414,"animal","1104","47","Old_Church_Slavonic","звѣрь","44"
415,"animal","1104","47","Latin","ferus","47"
416,"animal","1104","47","Latvian","zvērs","47"
417,"animal","1410","1","Walloon","BIESSE","1"
418,"animal","1410","47","Flemish","BEEST","48"
419,"animal","1410","47","Cornish","be:st","31, 15"
420,"animal","1410","47","Latin","bestia","47"
421,"animal","1410","47","Frisian","BISTEGUD","1"
422,"animal","1979","1","Persian_List","HEYVAN","1"
423,"animal","1979","1","Tadzik","XAJVON","1"
424,"animal","1979","1","Afghan","HAJVAN","1"
425,"animal","2176","47","Latvian","dzîvnieks","28"
426,"animal","2176","47","Greek_ML","DZOON","1"
427,"animal","2176","47","Greek_Mod","ˈzo̞ˌo̞","1, 111"
428,"animal","2176","47","Ancient_Greek","zdɔːjon","32, 118"
429,"animal","2176","47","Old_Church_Slavonic","životŭ","28"
430,"animal","2176","47","Irish_A","BEITHIDHEACH","1"
431,"animal","2176","47","Lithuanian_ST","GYVULYS","1"
432,"animal","2176","47","Russian","ʒɨ'votnoe","1, 92, 56"
433,"animal","2176","48","Slovenian","ZIVALI","1"
434,"animal","2176","47","Serbocroatian","ZIVOTINJA","1"
435,"animal","2176","47","Bulgarian","ʒiˈvɔtno","1, 110"
436,"animal","2177","47","Oriya","pɔsu","24, 23"
437,"animal","2177","48","Vedic_Sanskrit","paśús","28"
438,"animal","2177","48, 69","Nepali_List","PASU","1"
439,"animal","2180","49","Tocharian_A","lu","28"
440,"animal","2180","49","Tocharian_B","luwo","28"
441,"animal","2429","47","Breton_ST","lo.ɛ̃n","48, 113"
442,"animal","2429","47","Breton_SE","LON","48"
443,"animal","2429","47","Breton_List","LOEN","1"
444,"animal","3189","83","Iron_Ossetic","sɐrɐgoj","122"
445,"animal","3189","83","Digor_Ossetic","cɐrɐgoj","122"
446,"animal","3343","56","Armenian_List","ANASOON","1"
447,"animal","3343","56","Classical_Armenian","anasown","28"
458,"ashes","178","1","Danish","ˈasg̥ʰə","1, 97"
459,"ashes","178","1","Dutch_List","ɑs","1, 95"
460,"ashes","178","1","English_ST","æʃɪz ","1, 94"
461,"ashes","178","1","Faroese","øska","1"
462,"ashes","178","1","Flemish","ASCH","1"
463,"ashes","178","1","Frisian","ˈjɪskə","1, 119"
464,"ashes","178","1","German_ST","'aʃə","1, 96"
465,"ashes","178","1","Icelandic_ST","ˈaska","1"
466,"ashes","178","1","Riksmal","ASKE","1"
467,"ashes","178","1","Swedish_Up","ASKA","1"
468,"ashes","178","1","Swedish_VL","ASKA","1"
469,"ashes","178","47","Gothic","azgō","28"
470,"ashes","178","47","Vedic_Sanskrit","ā́sas","28"
471,"ashes","178","48, 49","Hittite","hās, hāss-","28"
472,"ashes","178","48","Swedish_List","'aska","48, 121"
473,"ashes","178","48","Old_Norse","aska","4, 28"
474,"ashes","178","47","Old_English","asce","28"
475,"ashes","178","48","Luxembourgish","Äschen",""
476,"ashes","178","56","Old_High_German","asca","28"
477,"ashes","354","1","Albanian_C","XI-RI","1"
478,"ashes","354","1","Albanian_G","HINI","1"
479,"ashes","354","1","Albanian_K","XII","1"
480,"ashes","354","1","Albanian_Top","HI","1"
481,"ashes","568","1","Armenian_List","MOGHIR","1"
482,"ashes","568","48","Armenian_Mod","moˈχiɾ","1, 79, 106"
483,"ashes","568","56","Classical_Armenian","moxir","28"
484,"ashes","685","1","Baluchi","PHUR","1"
485,"ashes","685","1","Wakhi","PERG","1"
486,"ashes","850","1","Catalan","'sɛndrə   ","1, 116"
487,"ashes","850","1","French","sɑ̃dʀ","1, 91"
488,"ashes","850","1","Italian","'tʃenere","1, 90"
489,"ashes","850","1","Ladin","TSCHENDRA","1"
490,"ashes","850","1","Portuguese_ST","ˈsĩzɐʃ","1, 108"
491,"ashes","850","1","Provencal","CENDRE","1"
492,"ashes","850","1","Romanian_List","cenușă","1"
493,"ashes","850","1","Sardinian_C","CINIZU","1"
494,"ashes","850","1","Sardinian_L","CHIJNA","1"
495,"ashes","850","1","Sardinian_N","KISINAS","1"
496,"ashes","850","1","Spanish","θe'niθas","1, 120"
497,"ashes","850","1","Vlach","CENUSE","1"
498,"ashes","850","1","Walloon","CINDE","1"
499,"ashes","850","47","Latin","cinis","17, 28, 27"
500,"ashes","850","56","Romansh","tschendra","89"
501,"ashes","850","56","Friulian","cinise","88"
502,"ashes","968","1","Breton_List","LUDU","1"
503,"ashes","968","1","Breton_SE","LUDU","1"
504,"ashes","968","1","Breton_ST","'ly:dy","1, 125"
505,"ashes","968","1","Irish_A","LUAITH","1"
506,"ashes","968","1","Welsh_C","LLUDW","1"
507,"ashes","968","1","Welsh_N","LLUDW","1"
508,"ashes","968","50","Cornish","lusow","15"
509,"ashes","968","56","Scots_Gaelic","luath","61"
510,"ashes","968","56","Old_Irish","lúaith","28"
511,"ashes","1105","1","Bulgarian","ˈpɛpɛl","1, 110"
512,"ashes","1105","1","Byelorussian","POPEL","1"
513,"ashes","1105","1","Czech","popɛl","1, 110"
514,"ashes","1105","1","Czech_E","POPEL","1"
515,"ashes","1105","1","Latvian","PELNI","1"
516,"ashes","1105","1","Lithuanian_ST","PELENAI","1"
517,"ashes","1105","1","Lusatian_L","POPEL","1"
518,"ashes","1105","1","Lusatian_U","POPJEL","1"
519,"ashes","1105","1","Macedonian","PEPEL","1"
520,"ashes","1105","1","Polish","ˈpɔpʲuw","1, 107"
521,"ashes","1105","1","Serbocroatian","PEPEO","1"
522,"ashes","1105","1","Slovak","POPOL","1"
523,"ashes","1105","1","Slovenian","PEPJU","1"
524,"ashes","1105","1","Ukrainian","POPIL","1"
525,"ashes","1105","47","Old_Church_Slavonic","popelŭ","28"
526,"ashes","1105","47","Old_Prussian","pelanne","28"
527,"ashes","1448","1","Greek_ML","STACHTE","1"
528,"ashes","1448","1","Greek_Mod","ˈstaxti","1, 111"
529,"ashes","1448","48","Swedish_List","stɔft","1, 121"
530,"ashes","1592","1","Gujarati","RAKH","1"
531,"ashes","1592","1","Hindi","rakʰ","1, 114"
532,"ashes","1592","1","Marathi","ɾakʰ","1, 98"
533,"ashes","1592","48","Marwari","rakh","12"
534,"ashes","1592","48","Urdu","ɾɑkʰ","62"
535,"ashes","1776","1","Nepali_List","KHAG, CHARO","1"
536,"ashes","1776","1","Persian_List","KHAKESTAR","1"
537,"ashes","1776","1","Tadzik","XOKISTAR","1"
538,"ashes","1828","1","Lahnda","SWA","1"
539,"ashes","1828","48","Kashmiri","SUR","1"
540,"ashes","2179","47","Ancient_Greek","tépʰraː","32, 118"
541,"ashes","2182","24","Assamese","sai","24"
542,"ashes","2182","24","Bengali","CHAI","1"
543,"ashes","2182","48","Bihari","chaur","29"
544,"ashes","2189","47","Oriya","bhɔsmoɔ","23"
545,"ashes","2189","48","Vedic_Sanskrit","bhasman-","47"
546,"ashes","2189","48","Marwari","bhobhaḷdo","36"
547,"ashes","2189","56","Marathi","'bʱəsmə","1, 98"
548,"ashes","2463","48","Tocharian_A","tor","28"
549,"ashes","2463","48","Tocharian_B","taur","28"
550,"ashes","3190","56","Iron_Ossetic","fɐnyk","122"
551,"ashes","3190","56","Digor_Ossetic","funuk","122"
561,"at","2","1","Afghan","DE...SERA","1"
562,"at","2","1","Baluchi","SAR-A","1"
563,"at","2","56","Iron_Ossetic","sur","122"
564,"at","2","56","Digor_Ossetic","cor","122"
565,"at","545","1","Albanian_K","NDE","1"
566,"at","545","1","Albanian_Top","NE","1"
567,"at","569","1","Armenian_List","MOD","1"
568,"at","1449","1","Greek_ML","SE","1"
569,"at","1449","1","Greek_Mod","se̞","1, 111"
570,"at","1636","1","Romani","KAI","1"
571,"at","1636","1","Kashmiri","KANI","1"
573,"at","1659","1","Marathi","t, tʰe","1, 98"
574,"at","1659","1","Nepali_List","MA","1"
575,"at","1829","1","Lahnda","UTTE","1"
576,"at","1829","56","Marathi","'wadzta","98"
577,"at","2125","1","Waziri","KSHE, PA, PERI","1"
578,"at","2534","70","Ancient_Greek","ἐπί","32"
579,"at","2535","66","Ancient_Greek","en","32, 66, 118"
580,"at","2535","81","Ukrainian","V","1"
581,"at","2535","81","Polish","v","1, 107"
582,"at","2535","81","Russian","v","1, 92, 56"
583,"at","2535","48","Lusatian_L","WU","1"
584,"at","2535","48","Portuguese_ST","ɐ̃j","1, 108"
585,"at","2535","50","Welsh_N","YN","1"
586,"at","2535","50","Welsh_C","YN","1"
587,"at","2535","50","Breton_List","E, EN","1"
588,"at","2535","50","Breton_SE","E, EN","1"
589,"at","2535","50","Breton_ST","e, ẽn ","1, 125"
590,"at","2536","48","Urdu","pəɾ, pɛ","62"
591,"at","2536","69","Marathi","-ver","1"
592,"at","2536","82","Frisian","op","1, 124"
593,"at","2536","82","Luxembourgish","op",""
594,"at","2536","48","Hindi","-PER","1"
595,"at","2537","48","Oriya","ṭhare","24"
596,"at","2538","81","Lusatian_U","PRI","1"
597,"at","2538","81","Ukrainian","PRY","1"
598,"at","2538","81","Byelorussian","PRY","69"
599,"at","2538","81","Czech_E","PRI","1"
600,"at","2538","81","Slovak","PRI","1"
601,"at","2538","81","Czech","pr̝̊ɪ","69, 110"
602,"at","2538","81","Old_Church_Slavonic","pri","44, 28"
